Row Labels,L1 and L2 places attended - 2019/20,L3 places attended - 2019/20,Levels 1 and 2 Places Attended (2018/19),Level 3 Places Attended (2018/19)
TR2,45,0,0,0
TR3,36,0,0,0
TS10,152,13,89,24
TS6,169,0,278,0
TW15,226,0,236,0
WA2,250,9,218,0
WA3,178,59,326,11
WA4,273,99,190,0
WN6,294,0,176,0
WR10,151,0,136,0
WS12,489,33,428,82
YO23,179,83,157,37
YO8,145,0,209,0
AL1,335,0,166,0
B29,111,0,170,0
B75,149,0,0,0
B77,168,24,159,0
B95,21,0,58,16
BB3,417,0,526,0
BD16,271,21,155,0
BD9,190,0,199,0
BH21,110,15,68,15
BL2,319,8,233,0
BL5,287,7,222,19
BL6,298,6,151,0
BN23,134,1,56,0
BN27,118,0,133,0
BN3,292,0,622,0
BS11,83,0,173,23
BS15,383,143,333,159
BS23,40,24,77,21
BS24,35,0,108,0
BS37,306,0,170,0
BS48,83,63,87,88
BS6,93,12,213,0
BS7,427,0,368,0
CA1,185,0,134,5
CA12,91,30,50,15
CA4,135,0,207,0
CA6,102,0,90,0
CA8,132,0,120,0
CB25,131,0,155,0
CH3,184,36,228,78
CH66,78,0,83,0
CM17,99,0,47,0
CM18,64,0,95,0
CM22,196,0,132,0
CM9,230,0,215,0
CO1,110,0,65,0
CO12,66,0,43,0
CO16,120,0,75,0
CV10,433,0,10,0
CV21,146,0,24,0
CV34,261,48,41,31
CV9,0,0,17,0
CW12,344,21,259,27
DE75,36,0,0,0
DH2,147,0,228,0
DH4,175,0,119,0
DH5,102,0,83,0
DH7,265,0,279,0
DL15,316,0,99,0
DN15,175,0,238,18
DN17,254,0,339,0
DN32,217,0,0,0
DN9,109,0,179,0
DY14,58,0,76,77
DY6,359,30,472,0
EX10,80,44,147,33
EX33,95,55,138,0
EX37,0,0,14,0
EX7,94,0,62,0
FY8,504,20,347,0
GU11,273,0,212,0
GU14,514,0,273,0
GU46,171,0,144,0
HD6,249,0,206,0
HP14,78,0,167,0
HP21,96,0,92,20
HP4,274,12,67,13
HP6,104,0,102,0
HU5,572,0,243,0
HU6,346,69,111,94
HU8,402,0,269,0
HU9,271,0,59,5
IP28,68,0,8,0
IP4,160,24,129,0
KT10,161,0,504,0
KT13,179,0,183,0
KT17,178,0,178,0
LA11,68,23,99,28
LA6,170,0,213,0
LE12,386,0,251,0
LE2,461,0,404,0
LE3,594,3,617,0
LN1,111,0,177,0
LN2,186,0,295,0
LS21,168,0,158,51
LS26,192,0,225,16
LS27,340,0,386,19
LU2,145,12,273,0
M23,249,15,206,85
M26,105,0,244,0
M27,259,0,216,0
M30,154,0,181,0
ME17,85,24,11,0
ME2,125,0,129,0
ME7,127,0,130,0
MK17,208,27,176,0
NE12,201,0,270,0
NG11,127,0,34,0
NG13,246,0,130,3
NG14,175,0,61,0
NG17,357,0,128,0
NG21,208,0,245,0
NG22,265,0,118,0
NG34,282,12,228,0
NG7,136,0,37,0
NN1,35,7,19,0
NN15,308,0,292,0
NN2,41,0,46,0
NR1,0,0,0,0
NR2,132,24,0,0
NR29,32,0,0,0
NR4,229,72,0,0
OL12,372,0,676,0
OL3,346,0,331,0
OX18,144,25,0,0
PE22,148,0,174,0
PE26,73,0,80,0
PE3,154,0,149,0
PE32,26,0,0,0
PE4,251,12,292,0
PE9,228,7,224,10
PL2,117,0,0,0
PL3,185,49,,
PL8,62,0,66,0
PO4,71,0,0,0
PO5,135,0,197,0
PR9,125,0,0,0
RG14,192,0,261,0
RG2,238,145,436,78
RG25,64,0,111,0
RG26,145,0,137,0
RG6,197,0,208,0
RH1,159,0,311,0
RH13,160,0,111,0
RH15,140,0,43,0
RM17,47,0,76,0
RM18,80,0,94,0
S73,83,17,99,4
S74,92,80,55,26
S75,180,0,341,0
SG1,190,10,167,7
SG13,144,21,109,18
SG18,99,0,130,6
SG19,104,0,84,0
SG6,92,0,146,0
SK15,203,0,260,0
SK6,373,0,283,0
SK8,598,0,562,0
SN10,116,0,76,0
SN5,166,0,174,0
SN6,84,19,87,9
SO40,380,0,348,0
SO45,409,0,202,0
SP10,424,0,0,0
SR3,270,0,225,0
SS16,49,65,55,148
SS3,69,0,129,0
ST2,274,0,375,0
SY1,340,27,190,0
SY11,110,100,191,0
TA10,88,0,105,0
TA2,78,0,92,0
TA7,96,0,92,0
TF9,102,0,101,0
TN11,131,0,78,0
TN24,72,0,0,0
TN35,69,0,49,0
TN37,93,0,67,0
TN38,37,0,49,0
TN39,40,54,0,0
TN40,50,0,61,0
TN6,133,0,169,0
TQ1,241,49,240,0
TQ3,250,83,99,0
TR12,65,0,,
TR27,53,0,0,0
TS14,162,0,102,0
TW18,172,0,210,0
WA1,151,78,88,121
WD23,120,0,136,14
WN4,113,0,105,0
WR5,220,0,87,0
WS10,116,18,60,18
WS15,336,21,305,0
YO32,216,90,254,106
AL2,117,0,112,16
AL4,123,0,81,0
AL8,153,0,110,0
B24,98,0,70,0
B28,130,0,94,0
B31,268,0,230,0
B32,131,0,330,0
B36,168,0,248,0
B49,38,0,67,0
B60,144,0,156,0
B62,145,0,109,0
B68,225,0,93,0
B69,209,0,204,0
B79,120,0,129,0
B93,205,0,354,38
B94,53,0,80,0
BA16,72,0,45,0
BA20,42,0,60,0
BA4,72,0,59,0
BA6,18,0,19,0
BB6,137,11,,
BB9,924,0,752,0
BD13,96,0,218,0
BD15,116,0,90,0
BD21,230,0,114,0
BD22,94,0,110,0
BH16,15,0,0,0
BH17,54,0,84,0
BH20,48,0,36,0
BH9,140,0,109,0
BL0,234,0,291,0
BN12,22,0,84,0
BN14,56,0,88,0
BN18,0,0,0,0
BS13,104,0,65,0
BS34,162,44,329,33
BS4,254,0,171,0
CA17,50,6,53,21
CA22,101,16,74,16
CH1,65,20,62,21
CM5,39,0,11,0
CO11,49,0,77,0
CO15,12,15,12,59
CO5,144,0,177,27
CO7,241,4,168,4
CR3,146,0,128,0
CT15,59,0,0,0
CT16,39,0,0,0
CT4,187,0,47,0
CT6,182,0,0,0
CV22,139,0,0,0
CV3,227,0,228,0
CV35,162,0,124,0
CV8,96,0,0,0
CW10,155,52,136,4
CW11,324,0,394,0
CW6,102,0,72,0
CW7,137,0,155,0
CW9,175,0,197,17
DE12,123,0,20,0
DE14,98,0,134,0
DE45,72,0,0,0
DE72,143,54,0,0
DH3,332,0,230,0
DH6,122,0,143,0
DL10,105,0,86,0
DL2,170,0,155,0
DL3,300,37,297,27
DN10,138,0,164,0
DN16,224,0,189,0
DN18,49,0,148,0
DN21,182,0,313,0
DN40,108,0,6,0
DT3,21,21,69,0
DY11,195,0,138,0
DY5,221,0,390,0
DY8,431,12,575,13
DY9,155,0,156,0
EN10,59,0,29,0
EN6,86,0,73,0
EN9,67,0,12,0
EX11,75,9,147,8
EX12,39,0,80,0
EX32,207,0,118,0
EX36,110,23,57,0
GL14,46,0,41,0
GL16,103,0,99,0
GL18,52,0,0,0
GL51,114,42,192,73
GU1,179,0,178,0
GU16,160,0,247,0
GU22,230,0,522,0
GU27,170,0,237,0
GU7,264,0,280,0
GU9,93,0,239,0
HD1,164,0,,
HD2,182,42,,
HD3,112,9,0,0
HG2,111,0,136,0
HP1,256,0,220,0
HP11,0,0,31,9
HP16,90,0,72,0
HP23,73,0,98,0
HP5,98,0,119,2
HU10,172,0,156,0
IG9,12,0,0,0
IP14,77,0,34,0
IP21,51,0,0,0
IP22,60,0,45,0
IP29,0,0,50,0
IP9,36,0,79,0
KT14,136,0,138,0
KT15,288,0,189,0
KT16,62,0,0,0
KT22,278,0,364,0
KT23,282,0,20,0
KT7,381,0,181,0
L13,135,36,,
L25,202,0,,
L34,101,0,,
L37,212,66,,
LA13,268,0,202,0
LA3,316,30,393,9
LA4,490,0,454,0
LE11,79,0,163,6
LE7,67,0,159,0
LN8,167,0,11,0
LS11,334,0,247,0
LS12,155,0,145,0
LS14,142,0,223,0
LS15,195,0,310,124
LS29,160,40,76,42
LS8,521,162,430,98
LS9,364,0,328,0
LU3,85,0,66,0
LU4,231,0,58,0
M12,111,0,194,0
M21,246,0,203,28
M22,222,21,123,0
M24,324,24,115,0
M29,104,0,48,0
M35,160,8,331,6
M8,304,60,158,0
MK10,245,0,230,12
MK19,44,0,104,0
MK8,44,0,41,8
NE30,143,0,118,0
NE33,340,0,290,0
NE4,94,0,196,0
NE40,224,0,218,0
NE5,401,0,460,0
NE62,53,0,129,0
NG32,265,0,21,0
NG33,24,0,12,0
NN17,82,0,58,15
NR15,44,0,0,0
NR19,102,0,0,0
NR20,12,0,0,0
NR33,99,0,101,0
OL11,513,0,343,0
OL13,312,64,268,12
OL5,122,0,139,0
OL6,81,0,80,0
PE10,272,0,100,0
PE14,95,0,43,0
PE25,128,0,9,0
PE27,257,0,368,24
PE34,35,0,0,0
PE38,21,0,0,0
PL11,51,34,,
PL13,25,0,0,0
PL25,137,0,0,0
PL26,206,0,0,0
PL27,241,46,0,0
PL4,182,81,0,0
PO1,158,0,108,0
PO10,72,0,120,0
PO15,138,0,18,0
PO9,126,0,189,0
RG17,46,0,98,0
RG18,148,0,223,0
RG22,289,0,255,0
RG24,333,0,287,0
RG27,134,0,98,0
RG31,168,10,271,8
RG8,110,24,196,0
RH11,132,0,82,0
RH12,25,0,118,0
RH4,253,0,276,0
RH6,150,0,122,0
RH7,103,0,193,0
RH8,155,0,106,0
S10,274,0,359,5
S11,115,0,123,1
S33,19,0,,
S44,164,0,0,0
S71,244,0,251,16
S8,54,0,60,0
SG11,145,0,106,0
SG12,114,0,138,6
SG14,124,0,184,0
SG16,100,0,0,0
SG17,160,0,0,0
SG2,138,13,223,23
SK11,359,24,215,84
SK14,334,0,240,0
SK3,183,0,77,0
SL9,50,0,63,0
SN1,71,0,34,0
SN12,28,0,55,0
SO31,372,0,105,0
SO32,135,0,262,0
SP2,75,0,86,0
SP7,68,27,91,19
SR2,221,0,209,0
SS1,66,0,301,11
SS15,67,0,64,0
SS4,55,0,0,0
ST1,118,0,149,0
ST11,197,0,254,59
ST14,112,36,45,33
ST20,117,0,70,0
ST9,186,66,224,104
SY10,110,0,118,0
SY12,50,0,22,0
SY3,110,25,125,69
TA20,66,0,84,0
TN17,60,0,67,0
TN27,75,0,31,0
TN32,71,0,43,0
TN34,32,0,45,0
TQ2,235,92,273,0
TR1,24,0,0,0
TR11,59,0,0,0
TR16,29,0,0,0
TR20,63,0,0,0
TR4,32,0,0,0
TS15,80,0,70,0
TW20,129,0,167,0
WD18,63,12,45,0
WD7,160,0,97,0
WF1,208,0,163,0
WF14,195,0,0,0
WF7,102,0,64,0
WN7,148,0,90,6
WR12,45,0,50,0
WR3,187,14,148,0
WR7,35,0,43,0
WR8,83,27,69,38
WS14,284,24,240,0
WS7,283,0,260,0
WV16,67,0,39,0
YO17,39,0,105,0
YO26,112,105,153,90
YO30,25,25,27,26
YO61,52,0,99,0
AL10,106,10,87,8
AL6,96,0,123,0
AL7,98,23,161,0
AL9,69,0,42,0
B12,352,0,75,0
B23,199,0,172,0
B30,195,0,121,0
B44,129,0,92,0
B6,40,0,0,0
B61,381,0,308,0
B63,366,77,155,0
B64,54,0,32,0
B67,68,0,92,0
B7,245,0,172,0
B71,81,0,60,0
B72,108,0,83,0
B73,89,0,125,24
B74,164,36,80,54
B76,84,0,0,0
B8,417,0,283,0
B9,439,0,104,0
B98,77,0,103,0
BA1,40,0,19,0
BA11,36,0,36,0
BA13,81,0,29,0
BA15,10,0,12,0
BA2,37,0,39,0
BA22,106,0,23,0
BA8,43,0,24,0
BB8,282,41,430,0
BD12,81,0,48,0
BD17,109,0,153,0
BD18,18,0,33,0
BD20,67,0,97,0
BD3,492,0,368,0
BD4,53,0,15,0
BH10,46,3,9,0
BH11,24,0,33,0
BH14,69,0,47,0
BH22,72,15,58,24
BH25,103,42,208,0
BH5,55,0,52,0
BL7,179,0,196,0
BN10,119,3,82,0
BN17,46,0,126,0
BN24,74,6,78,11
BN25,90,7,56,10
BN6,110,0,153,0
BN9,29,7,67,4
BR8,73,0,63,0
BS21,98,0,41,7
BS40,95,0,87,0
CA3,274,0,162,0
CB5,31,0,31,0
CB9,9,0,24,0
CH41,30,0,0,0
CH43,236,9,,
CH44,47,31,,
CH61,97,0,,
CM0,94,0,58,0
CM11,74,0,73,0
CM24,54,0,0,0
CM77,89,0,75,0
CO13,66,0,54,0
CO14,50,0,41,0
CT1,53,36,0,0
CT10,125,0,87,0
CT11,100,0,115,0
CT14,29,0,9,0
CT5,220,27,0,0
CV11,204,28,0,21
CV32,152,0,54,0
CV33,161,0,0,0
CV36,57,0,96,0
CV37,189,0,123,0
DA1,88,18,24,0
DA11,92,0,55,0
DA12,252,0,24,0
DA13,36,0,12,0
DE15,100,0,30,0
DE3,415,24,108,0
DH8,53,0,0,0
DL13,64,0,95,0
DL14,241,0,63,0
DL16,238,0,58,0
DL17,0,0,130,0
DL8,36,0,76,0
DN11,138,0,149,0
DN33,207,0,0,0
DN34,118,0,0,0
DN35,308,0,0,0
DN36,143,0,43,0
DN37,144,0,0,0
DN41,96,0,0,0
DT11,62,18,85,15
DY1,125,0,108,0
DY12,158,0,47,0
EN11,180,0,146,0
EX19,0,0,22,0
EX3,71,0,145,0
EX34,51,0,59,0
EX38,31,28,59,58
EX9,0,0,42,0
FY6,111,0,258,0
GL13,38,0,25,0
GL55,84,0,57,0
GL56,90,0,47,0
GL8,102,0,93,0
GL9,59,0,0,0
GU2,178,0,184,0
GU31,70,0,45,1
GU32,107,0,102,0
GU33,99,0,95,0
GU52,259,0,332,0
GU8,169,0,319,0
HG1,111,0,214,0
HG3,16,0,46,0
HG5,28,0,43,8
HP10,24,0,106,0
HP12,43,0,48,0
HP13,55,0,44,0
HP17,39,0,0,0
HP2,35,0,74,0
HU14,52,0,62,0
HU18,12,0,20,0
HX4,169,0,40,0
HX5,43,0,42,0
IG7,60,30,0,0
IP2,59,0,46,0
IP20,5,0,0,0
IP27,53,0,0,0
IP32,0,0,53,0
KT18,148,0,182,0
KT21,253,0,357,0
KT24,84,0,113,0
KT8,251,0,177,0
L11,151,0,,
L15,174,45,0,0
L21,87,0,,
L30,93,19,,
L31,205,0,,
L35,144,24,0,0
L36,120,158,0,0
L8,107,45,0,0
LA18,118,0,123,0
LA22,38,0,50,0
LA23,38,0,75,0
LE17,0,10,0,0
LE19,83,0,127,0
LE5,588,0,513,0
LE67,120,0,276,24
LN3,30,0,48,0
LS13,136,0,105,2
LS18,207,26,239,30
LS19,209,94,229,48
LS22,85,0,153,0
LS23,111,19,96,0
LS4,82,0,83,0
LS6,94,0,123,0
LS7,153,0,191,0
LU1,120,0,229,0
M13,177,9,122,53
M19,263,0,146,0
M25,205,0,202,0
M38,109,0,44,0
M40,274,216,237,321
M44,60,0,179,0
M45,181,0,233,0
ME20,127,0,141,10
ME6,32,0,34,0
MK3,183,4,136,6
NE13,128,0,87,0
NE2,131,0,117,0
NE21,84,0,152,0
NE23,211,24,226,0
NE31,307,0,351,0
NE61,23,0,115,0
NE8,164,0,182,0
NN16,162,0,161,0
NN18,88,0,137,13
NR10,13,0,0,0
NR16,0,0,0,0
NR18,49,0,0,0
NR6,0,0,0,0
NR7,,,0,0
OL15,168,0,87,0
OL7,107,0,29,0
OX15,90,0,13,0
OX16,104,0,3,2
OX20,38,0,0,0
OX26,34,6,7,1
OX33,19,0,0,0
PE16,0,0,30,0
PL17,41,0,0,0
PL18,27,0,,
PO11,70,0,0,0
PO18,49,0,72,0
PO19,0,0,34,0
PO21,166,0,113,0
PO6,323,18,304,0
PO8,185,0,159,8
PR8,264,56,,
RG1,145,12,187,41
RG12,319,0,210,0
RG19,89,0,60,0
RG29,50,0,79,0
RG42,114,0,130,0
RH17,116,0,61,0
RH19,29,0,25,0
S13,140,0,167,0
S21,211,0,0,0
S25,38,0,30,0
S32,37,0,,
S45,122,0,0,0
S70,131,44,184,97
SK16,53,0,48,0
SK23,166,0,0,0
SL1,192,19,215,78
SL7,130,0,137,0
SM7,264,0,211,0
SN3,108,0,45,0
SN4,132,0,62,0
SN9,18,0,28,0
SO20,34,0,0,0
SO23,185,0,143,0
SO24,41,0,34,0
SP9,38,0,11,0
SR6,294,0,385,0
SS11,17,0,18,0
SS8,97,0,0,0
ST13,139,80,95,0
ST8,55,48,72,40
SY2,128,55,79,0
SY6,72,22,42,0
SY7,82,0,128,10
SY8,156,0,152,0
TA11,36,0,39,0
TA12,42,0,36,0
TA13,24,0,24,0
TA14,6,0,12,0
TA5,12,0,14,0
TF1,54,0,95,0
TF10,145,0,230,0
TF12,31,0,89,14
TF2,145,0,62,0
TN13,171,0,211,0
TN14,100,0,174,0
TN16,13,0,0,0
TN19,57,0,32,0
TN26,70,0,30,0
TN3,121,0,50,0
TN5,106,0,71,0
TN9,44,0,40,32
TQ14,163,9,94,0
