Row Labels,Number of instructors,Sum of Number of schools,No delivery due to covid,Sum of Levels 1 and 2 places attended (2020/21),Sum of L1 and L2 places attended - 2019/20,Sum of Level 3 Places Attended (2020/21),Sum of Plus Places Attended (2020/21),Sum of % schools that booked Bikeability2,Sum of % schools that booked Bikeability,Sum of Level 3 places attended - 2019/20,Sum of Level 3 Places Attended (2018/19),Sum of Levels 1 and 2 Places Attended (2018/19)
DE74,1,10,,135,20,0,0,10,10,20,0,0
DE75,0,6,,46,84,0,0,17,17,12,0,50
DG12,1,,,,,,,,,,,
DG2,1,,,,,,,,,,,
DH1,1,10,,76,36,0,0,40,40,0,0,0
DH2,1,26,,211,536,0,0,27,27,0,0,609
DH3,0,9,,110,147,0,0,44,44,0,0,228
DH4,0,13,,180,332,0,0,23,23,0,0,230
DH5,3,12,Yes,0,102,0,0,33,33,0,0,83
DH6,0,11,,22,175,0,5,36,36,0,0,119
DH7,0,14,,117,122,0,0,21,21,0,0,143
DH8,1,20,Yes,0,53,0,0,10,10,0,0,0
DH9,0,24,,93,265,0,0,17,17,0,0,279
DL1,1,21,,103,21,0,0,24,24,0,0,62
DL10,2,17,,0,274,0,29,6,6,14,1,245
DL11,0,11,,60,105,0,0,27,27,0,0,86
DL12,0,9,Yes,0,177,0,0,11,11,0,0,29
DL13,0,4,,0,0,0,0,0,0,0,0,0
DL14,1,14,,115,64,0,0,14,14,0,0,95
DL15,2,25,,68,241,0,0,8,8,0,0,63
DL16,1,13,,34,316,0,0,31,31,0,0,99
DL17,0,14,,15,238,0,0,14,14,0,0,58
DL2,0,10,,19,0,0,0,20,20,0,0,130
DL3,2,14,,43,170,0,99,21,21,0,0,155
DL4,0,19,,0,300,8,159,16,16,37,27,297
DL5,1,3,,26,0,0,0,33,33,0,0,120
DL6,0,16,,0,120,0,0,0,0,0,0,21
DL7,2,8,,18,54,0,0,13,13,4,0,39
DL8,1,13,,38,116,12,0,8,8,15,0,122
DL9,0,8,Yes,0,42,0,0,13,13,0,0,76
DN1,0,17,,19,36,0,0,12,12,0,0,76
DN10,1,4,,0,6,0,0,0,0,0,0,22
DN11,1,8,,99,138,0,12,38,38,0,0,164
DN12,0,13,,58,138,0,12,15,15,0,0,149
DN14,0,14,,0,26,0,0,0,0,0,0,17
DN15,0,27,,40,198,0,0,19,19,0,0,133
DN16,0,16,,156,175,0,36,25,25,0,18,238
DN17,0,17,,154,224,0,1,18,18,0,0,189
DN18,0,20,,68,254,0,2,20,20,0,0,339
DN19,0,3,Yes,0,122,0,0,33,33,0,0,0
DN2,0,6,,51,49,0,1,50,50,0,0,148
DN20,0,9,,0,37,0,0,0,0,0,0,27
DN21,0,10,,96,165,0,2,50,50,0,0,142
DN22,1,26,,15,182,0,56,12,12,0,0,313
DN3,2,21,,105,139,0,24,29,29,0,0,182
DN31,0,14,,0,32,0,0,0,0,0,0,57
DN32,1,3,,0,30,0,0,0,0,0,0,0
DN33,2,11,,54,217,0,0,36,36,0,0,0
DN34,5,8,,73,207,0,0,25,25,0,0,0
DN35,5,13,Yes,0,308,0,0,15,15,0,0,0
DN36,2,8,,10,118,0,0,25,25,0,0,0
DN37,0,10,Yes,0,144,0,0,20,20,0,0,0
DN38,0,13,,103,143,0,0,15,15,0,0,43
DN39,0,3,Yes,0,17,0,0,33,33,0,0,63
DN4,1,2,,0,100,0,0,0,0,0,0,0
DN40,0,21,,0,0,0,0,0,0,0,0,0
DN41,0,7,,30,108,0,0,43,43,0,0,6
DN5,3,4,,44,96,0,0,50,50,0,0,0
DN6,0,21,,0,85,0,0,0,0,0,0,96
DN7,1,14,,0,27,0,0,0,0,0,0,0
DN8,0,10,,0,26,0,0,0,0,0,0,33
DN9,0,6,,0,0,0,0,0,0,0,0,0
DT1,2,13,,112,109,0,2,31,31,0,0,179
DT10,0,8,,6,2,0,0,13,13,0,0,1
DT11,3,7,,0,51,0,0,0,0,11,9,41
DT2,0,21,,25,62,0,0,10,10,18,15,85
DT3,0,15,,7,0,4,0,7,7,0,3,18
DT4,1,9,,73,21,0,0,33,33,21,0,69
DT5,1,12,,7,0,0,0,8,8,0,0,24
DT6,0,2,,0,0,0,0,0,0,0,0,0
DT7,0,3,Yes,0,8,0,0,33,33,12,0,51
DT8,0,11,,0,69,0,0,0,0,0,0,81
DT9,1,5,,17,36,0,0,20,20,0,0,15
DY1,1,13,Yes,0,125,0,0,15,15,0,0,108
DY10,2,16,,12,18,0,0,6,6,24,15,20
DY11,1,14,,53,220,0,0,43,43,3,14,268
DY12,1,14,,62,195,0,0,21,21,0,0,138
DY13,0,6,,52,158,0,0,33,33,0,0,47
DY14,0,9,,119,132,0,0,56,56,0,0,142
DY2,0,6,,13,58,0,0,67,67,0,77,76
DY3,5,12,Yes,0,402,0,0,8,8,0,0,217
DY4,1,12,,0,33,0,0,0,0,0,0,0
DY5,3,13,Yes,0,221,0,0,23,23,0,0,390
DY6,3,19,,37,150,0,0,26,26,0,0,97
DY7,2,13,,21,359,0,0,31,31,30,0,472
DY8,9,4,,0,0,0,0,0,0,0,0,0
DY9,3,19,,1,431,0,36,16,16,12,13,575
E1,0,11,,124,155,0,0,27,27,0,0,156
E10,1,41,,0,0,0,0,0,0,0,0,0
E11,2,13,,0,0,0,0,0,0,0,0,0
E12,1,12,,0,0,0,0,0,0,0,0,0
E13,1,12,,0,0,0,0,0,0,0,0,0
E14,4,16,,0,0,0,0,0,0,0,0,0
E15,3,30,,0,0,0,0,0,0,0,0,0
E16,0,20,,0,0,0,0,0,0,0,0,0
E17,10,19,,0,0,0,0,0,0,0,0,0
E18,0,39,,0,0,0,0,0,0,0,0,0
E1W,1,7,,0,0,0,0,0,0,0,0,0
E2,3,4,,0,0,0,0,0,0,0,0,0
E20,0,26,,0,0,0,0,0,0,0,0,0
E3,5,2,,0,0,0,0,0,0,0,0,0
E4,6,21,,0,0,0,0,0,0,0,0,0
E5,6,21,,0,0,0,0,0,0,0,0,0
E6,2,22,,0,0,0,0,0,0,0,0,0
E7,2,23,,0,0,0,0,0,0,0,0,0
E8,2,21,,0,0,0,0,0,0,0,0,0
E9,1,12,,0,0,0,0,0,0,0,0,0
EC1M,0,15,,0,0,0,0,0,0,0,0,0
EC1N,0,2,,0,0,0,0,0,0,0,0,0
EC1R,1,1,,0,0,0,0,0,0,0,0,0
EC1V,2,3,,0,0,0,0,0,0,0,0,0
EC1Y,0,4,,0,0,0,0,0,0,0,0,0
EC2A,0,1,,0,0,0,0,0,0,0,0,0
EC2Y,0,2,,0,0,0,0,0,0,0,0,0
EC3A,0,1,,0,0,0,0,0,0,0,0,0
EC3N,0,1,,0,0,0,0,0,0,0,0,0
EC4M,0,1,,0,0,0,0,0,0,0,0,0
EC4V,0,1,,0,0,0,0,0,0,0,0,0
EN1,1,1,,0,0,0,0,0,0,0,0,0
EN10,0,17,,0,0,0,0,0,0,0,0,0
EN11,0,12,Yes,0,180,0,0,17,17,0,0,146
EN2,1,4,,28,59,0,0,75,75,0,0,29
EN3,0,9,,0,0,0,0,0,0,0,0,0
EN4,1,25,,0,0,0,0,0,0,0,0,0
EN5,1,14,,0,0,0,0,0,0,0,0,0
EN6,1,12,,0,0,0,0,0,0,0,0,0
EN7,0,18,,58,86,0,0,17,17,0,0,73
EN8,0,9,,24,56,0,0,11,11,0,0,52
EN9,0,16,,0,62,0,0,0,0,0,0,141
EX1,0,6,,132,67,24,0,50,50,0,0,12
EX10,1,6,Yes,0,80,0,0,67,67,44,33,147
EX11,0,13,,124,191,0,0,46,46,0,0,179
EX12,0,3,,85,75,0,0,100,100,9,8,147
EX13,0,3,,41,39,0,0,100,100,0,0,80
EX14,1,10,,22,141,0,0,60,60,0,0,84
EX15,1,10,,105,226,0,7,90,90,30,0,187
EX16,2,12,,132,175,0,0,58,58,0,17,237
EX17,1,20,,85,447,24,0,75,75,17,0,288
EX18,0,12,,101,281,0,0,58,58,0,0,203
EX19,0,4,Yes,0,0,0,0,50,50,0,0,22
EX2,1,2,,0,48,0,0,0,0,0,0,32
EX20,3,21,,102,173,39,1,43,43,48,100,272
EX21,0,13,,197,45,0,1,54,54,0,0,12
EX22,0,6,,23,32,0,0,100,100,0,0,45
EX23,0,8,,39,30,0,10,75,75,0,0,0
EX24,0,3,Yes,0,0,0,0,33,33,18,0,12
EX3,2,2,Yes,0,71,0,0,100,100,0,0,145
EX31,2,9,,102,103,0,0,56,56,0,0,0
EX32,1,15,,43,81,110,0,40,40,52,42,90
EX33,1,16,,40,207,0,0,19,19,0,0,118
EX34,0,5,,14,95,0,0,80,80,55,0,138
EX35,0,1,Yes,0,0,0,0,100,100,0,0,0
EX36,0,7,,24,51,0,0,29,29,0,0,59
EX37,0,6,,85,110,0,0,50,50,23,0,57
EX38,0,4,,17,0,0,0,100,100,0,0,14
EX39,0,4,,30,31,6,0,50,50,28,58,59
EX4,1,16,,159,282,0,2,63,63,18,0,305
EX5,3,18,,131,327,26,100,28,28,0,0,163
EX6,2,15,,133,320,0,3,73,73,0,4,294
EX7,1,6,Yes,0,94,0,0,67,67,0,0,62
EX8,1,11,,63,68,0,0,64,64,0,0,112
EX9,1,12,,84,409,0,0,58,58,0,7,384
FY1,1,4,,42,0,0,0,50,50,0,0,42
FY2,0,6,,59,70,0,0,83,83,0,0,57
FY3,1,8,,21,96,0,32,75,75,0,0,88
FY4,2,13,,106,221,0,70,46,46,0,6,249
FY5,4,16,,126,242,0,78,56,56,14,0,175
FY6,0,13,,88,228,0,0,38,38,9,0,283
FY7,0,16,,82,111,0,0,13,13,0,0,258
FY8,2,15,Yes,0,504,0,0,27,27,20,0,347
G64,1,,,,,,,,,,,
GL1,2,10,,0,173,0,0,0,0,0,0,118
GL10,1,17,,67,225,0,0,29,29,45,37,180
GL11,2,11,,42,93,0,0,64,64,0,0,156
GL12,4,10,,66,117,0,0,60,60,0,11,112
GL13,0,9,,61,156,0,0,67,67,0,0,138
GL14,1,5,,12,38,0,0,40,40,0,0,25
GL15,1,8,,39,46,0,0,38,38,0,0,41
GL16,0,13,,69,103,0,0,46,46,0,0,146
GL17,1,9,,25,103,0,0,33,33,0,0,99
GL18,2,7,,34,80,0,0,71,71,0,0,70
GL19,0,5,,26,52,0,0,60,60,0,0,0
GL2,3,10,,39,92,0,0,60,60,0,0,111
GL20,0,26,,286,424,31,0,54,54,35,106,381
GL3,1,19,,55,162,0,0,42,42,11,37,138
GL4,1,16,,24,159,18,0,38,38,38,21,249
GL5,1,21,,176,291,0,0,43,43,64,15,290
GL50,1,19,,60,192,0,0,47,47,0,0,181
GL51,1,7,,0,26,0,0,0,0,0,0,75
GL52,1,22,,111,114,0,0,14,14,42,73,192
GL53,3,17,,123,259,6,0,47,47,9,0,238
GL54,1,9,,146,168,28,0,56,56,53,55,188
GL55,0,16,,109,121,0,0,69,69,16,36,108
GL56,0,4,,15,84,0,0,50,50,0,0,57
GL6,6,4,,41,90,0,0,50,50,0,0,47
GL7,0,18,,99,154,0,0,39,39,0,0,198
GL72,1,,,,,,,,,,,
GL8,0,27,,168,251,0,0,70,70,43,55,272
GL9,0,5,,27,102,0,0,40,40,0,0,93
GU1,0,2,,9,59,0,0,100,100,0,0,0
GU10,2,16,,71,179,0,0,19,19,0,0,178
GU11,1,12,,32,74,0,0,8,8,0,0,86
GU12,0,10,,81,273,0,0,40,40,0,0,212
GU14,3,7,,133,125,0,0,71,71,0,18,93
GU15,1,12,Yes,0,41,0,0,8,8,0,0,52
GU16,2,28,,57,514,0,0,14,14,0,0,273
GU17,0,4,Yes,0,88,0,0,25,25,0,0,74
GU18,0,2,Yes,0,48,0,0,50,50,0,0,43
GU19,0,10,,42,160,0,0,30,30,0,0,247
GU2,2,3,,0,107,0,0,0,0,0,0,110
GU20,0,12,,70,178,0,0,17,17,0,0,184
GU21,4,2,,0,0,0,0,0,0,0,0,0
GU22,6,19,,60,363,0,0,32,32,0,0,339
GU23,0,13,,60,230,0,0,23,23,0,0,522
GU24,4,2,,0,74,0,0,0,0,0,0,44
GU25,0,3,Yes,0,68,0,0,33,33,0,0,0
GU26,1,10,,79,150,0,0,50,50,0,0,89
GU27,1,6,,20,90,0,0,17,17,0,0,108
GU28,0,9,,52,170,0,0,33,33,0,0,237
GU29,0,5,,9,0,0,0,20,20,0,0,0
GU30,0,4,,0,0,0,0,0,0,0,0,0
GU31,0,5,,90,85,0,0,20,20,0,24,86
GU32,0,6,,17,70,0,0,33,33,0,1,45
GU33,0,9,,29,107,0,0,22,22,0,0,102
GU34,0,5,,92,99,0,0,40,40,0,0,95
GU35,2,19,,113,199,0,0,42,42,32,33,315
GU4,3,6,Yes,0,116,0,0,17,17,0,0,108
GU46,0,8,,29,51,0,0,13,13,4,0,68
GU47,2,8,,155,171,0,0,50,50,0,0,144
GU5,0,11,Yes,0,175,0,0,9,9,0,0,123
GU51,0,7,,6,117,0,0,14,14,0,0,117
GU52,0,9,Yes,0,259,0,0,22,22,0,0,332
GU6,1,4,,0,126,0,0,0,0,0,0,89
GU7,1,9,,49,109,0,0,11,11,0,0,108
GU8,1,15,,123,264,0,0,20,20,0,0,280
GU9,2,15,Yes,0,93,0,0,20,20,0,0,239
HA0,0,11,,12,169,0,0,18,18,0,0,319
HA1,1,10,,0,0,0,0,0,0,0,0,0
HA2,0,14,,0,0,0,0,0,0,0,0,0
HA3,2,16,,0,0,0,0,0,0,0,0,0
HA4,4,26,,0,0,0,0,0,0,0,0,0
HA5,1,18,,0,0,0,0,0,0,0,0,0
HA6,1,14,Yes,0,33,0,0,7,7,0,0,28
HA7,0,16,,0,0,0,0,0,0,0,0,0
HA8,0,8,,0,0,0,0,0,0,0,0,0
HA9,0,24,,0,0,0,0,0,0,0,0,0
HD1,1,17,,0,0,0,0,0,0,0,0,0
HD2,0,7,,112,164,0,71,43,43,0,0,0
HD3,1,9,,88,182,8,87,33,33,42,0,0
HD4,1,8,,183,112,0,0,38,38,9,0,0
HD5,3,14,,274,195,45,32,79,79,40,0,0
HD6,1,15,Yes,0,249,0,0,27,27,0,0,206
HD7,2,12,,296,430,10,0,83,83,0,0,0
HD8,6,13,,146,198,0,36,54,54,12,0,0
HD9,6,19,,381,356,24,158,89,89,0,0,0
HG1,2,17,,232,126,67,54,41,41,9,0,0
HG2,2,13,Yes,0,111,0,0,23,23,0,0,136
HG3,1,13,,56,111,0,0,15,15,0,0,214
HG4,1,19,Yes,0,87,0,0,5,5,0,0,65
HG5,0,25,,15,16,0,0,8,8,0,0,46
HP1,2,9,,52,28,0,0,22,22,0,8,43
HP10,0,7,Yes,0,24,0,0,29,29,0,0,106
HP11,1,18,,26,256,0,0,17,17,0,0,220
HP12,1,11,,47,0,24,0,27,27,0,9,31
HP13,0,9,,46,43,0,0,22,22,0,0,48
HP14,2,13,,12,55,0,0,15,15,0,0,44
HP15,1,10,,30,78,0,0,40,40,0,0,167
HP16,0,11,,128,157,0,52,55,55,0,0,230
HP17,1,7,,74,90,0,0,43,43,0,0,72
HP18,0,6,,0,39,0,30,33,33,0,0,0
HP19,3,12,,30,111,0,0,42,42,0,0,47
HP2,1,8,,0,28,0,0,0,0,0,0,0
HP20,0,18,,52,35,0,0,11,11,0,0,74
HP21,0,5,,0,22,0,0,0,0,0,0,40
HP22,3,17,,84,96,0,0,24,24,0,20,92
HP23,2,13,,120,117,0,0,46,46,0,9,233
HP27,1,7,Yes,0,7,0,0,14,14,0,0,29
HP3,1,10,,59,73,0,0,30,30,0,0,98
HP4,2,14,,0,160,0,0,0,0,0,0,144
HP5,0,15,,75,274,10,0,27,27,12,13,67
HP6,0,13,,24,98,0,0,23,23,0,2,119
HP7,0,8,Yes,0,29,0,0,13,13,0,0,0
HP8,1,2,Yes,0,23,0,0,50,50,0,0,24
HP9,1,12,,52,104,0,0,33,33,0,0,102
HR1,2,10,,72,148,0,0,50,50,0,0,180
HR2,0,23,,0,185,0,0,0,0,0,11,215
HR3,0,20,,0,116,0,0,0,0,0,12,210
HR4,1,3,,0,0,0,0,0,0,0,0,25
HR5,0,14,,0,241,0,0,0,0,0,0,368
HR6,2,2,,0,0,0,0,0,0,0,0,0
HR7,0,14,,0,103,0,0,0,0,0,0,181
HR8,0,5,,0,25,0,0,0,0,0,0,31
HR9,1,9,,0,57,0,0,0,0,0,0,92
HU1,0,13,,0,57,0,0,0,0,0,0,138
HU10,4,6,Yes,0,172,0,0,50,50,0,0,156
HU11,0,2,,0,0,0,0,0,0,0,0,0
HU12,2,13,Yes,0,79,0,0,8,8,0,0,126
HU13,2,6,,0,23,0,0,0,0,0,0,22
HU14,0,3,Yes,0,52,0,0,67,67,0,0,62
HU15,3,9,Yes,0,203,0,0,11,11,0,0,161
HU16,1,5,Yes,0,124,0,0,20,20,3,0,57
HU17,2,18,Yes,0,233,0,0,33,33,0,10,288
HU18,0,4,Yes,0,12,0,0,50,50,0,0,20
HU19,0,3,Yes,0,0,0,0,33,33,0,0,43
HU2,0,4,,0,24,0,0,0,0,0,0,11
HU20,0,4,,26,0,0,0,25,25,0,0,0
HU3,0,1,,0,11,0,0,0,0,0,0,0
HU4,0,12,,98,368,0,44,42,42,0,0,99
HU5,2,10,,300,181,20,130,70,70,74,0,127
HU6,0,13,,282,572,0,12,31,31,0,0,243
HU7,1,16,,39,346,20,0,25,25,69,94,111
HU8,0,19,,371,792,0,10,37,37,0,0,178
HU9,0,12,,349,402,0,75,33,33,0,0,269
HX1,1,10,Yes,0,298,0,0,10,10,0,0,187
HX2,0,20,Yes,0,447,0,0,35,35,0,0,260
HX3,2,22,Yes,0,384,0,0,45,45,0,0,372
HX4,1,5,Yes,0,169,0,0,40,40,0,0,40
HX5,0,6,Yes,0,43,0,0,33,33,0,0,42
HX6,0,15,Yes,0,119,0,0,33,33,0,0,135
HX7,0,11,Yes,0,235,0,0,55,55,0,0,241
IG1,0,18,,108,271,0,112,22,22,0,5,59
IG10,1,17,,0,0,0,0,0,0,0,0,0
IG11,3,14,,180,60,24,35,50,50,6,0,0
IG2,1,20,,0,0,0,0,0,0,0,0,0
IG3,1,7,,0,0,0,0,0,0,0,0,0
IG4,0,11,,0,0,0,0,0,0,0,0,0
IG5,1,4,,0,0,0,0,0,0,0,0,0
IG6,0,5,,0,0,0,0,0,0,0,0,0
IG7,1,10,Yes,0,60,0,0,20,20,30,0,0
IG8,0,12,,0,0,0,0,0,0,0,0,0
IG9,1,17,,0,0,0,0,0,0,0,0,0
IP1,1,18,Yes,0,68,0,0,6,6,0,0,10
IP10,0,5,,95,12,6,0,60,60,0,0,0
IP11,0,3,,0,0,0,0,0,0,0,0,22
IP12,1,11,,24,107,0,0,9,9,0,0,127
IP13,2,14,,30,235,0,0,57,57,48,0,132
IP14,1,13,,12,86,0,0,38,38,0,0,45
IP15,0,22,,21,77,0,0,14,14,0,0,34
IP16,0,1,,0,0,0,0,0,0,0,0,0
IP17,1,8,Yes,0,25,0,0,13,13,0,0,19
IP18,0,3,,0,0,0,0,0,0,0,0,18
IP19,0,3,,0,0,0,0,0,0,0,0,0
IP2,0,12,Yes,0,59,0,0,17,17,0,0,46
IP20,0,5,,12,31,0,0,20,20,0,0,0
IP21,1,8,Yes,0,51,0,0,38,38,0,0,0
IP22,4,4,,30,5,0,0,50,50,0,0,0
IP23,0,6,Yes,0,9,0,0,17,17,0,0,8
IP24,2,14,,29,60,0,12,21,21,0,0,45
IP25,0,8,Yes,0,0,0,0,13,13,0,0,0
IP26,0,15,,0,22,0,0,0,0,0,0,0
IP27,0,6,,0,0,0,0,0,0,0,0,0
IP28,1,5,,84,53,0,0,40,40,0,0,0
IP29,0,11,,144,68,0,0,36,36,0,0,8
IP3,0,4,,59,0,0,0,75,75,0,0,50
IP30,1,11,,0,24,0,0,0,0,0,0,0
IP31,2,6,,19,32,0,0,17,17,0,0,35
IP32,1,11,,43,129,0,0,45,45,0,0,24
IP33,3,10,,53,0,0,0,20,20,0,0,53
IP4,1,12,,21,44,0,0,50,50,2,0,99
IP5,2,5,Yes,0,220,0,0,20,20,0,0,224
IP6,1,14,,73,160,15,0,29,29,24,0,129
IP7,2,7,,0,20,0,0,0,0,0,0,21
IP8,0,12,,61,70,0,0,50,50,0,0,58
IP9,0,8,,12,65,0,0,13,13,0,0,0
KT1,2,10,,49,36,0,0,30,30,0,0,79
KT10,0,10,Yes,0,161,0,0,40,40,0,0,504
KT11,1,10,Yes,0,0,0,0,10,10,0,0,0
KT12,2,6,,0,0,0,0,0,0,0,0,0
KT13,0,11,,102,404,0,0,45,45,0,0,245
KT14,0,7,,113,179,0,0,57,57,0,0,183
KT15,0,5,,44,136,0,0,60,60,0,0,138
KT16,1,12,,41,288,0,0,25,25,0,0,189
KT17,0,11,,38,62,0,0,27,27,0,0,0
KT18,3,8,Yes,0,148,0,0,25,25,0,0,182
KT19,2,10,,154,178,0,0,40,40,0,0,178
KT2,1,11,,156,337,0,0,45,45,0,0,252
KT20,1,10,Yes,0,147,0,0,10,10,0,0,277
KT21,2,19,,0,0,0,0,0,0,0,0,0
KT22,1,6,,110,253,0,0,33,33,0,0,357
KT23,0,14,,80,278,0,0,21,21,0,0,364
KT24,0,5,,107,282,0,0,60,60,0,0,20
KT3,4,5,,91,84,0,0,40,40,0,0,113
KT4,0,14,,0,0,0,0,0,0,0,0,0
KT5,3,8,,21,15,0,0,13,13,0,0,0
KT6,1,4,,0,0,0,0,0,0,0,0,0
KT7,1,14,,0,0,0,0,0,0,0,0,0
KT8,2,6,,106,381,0,0,50,50,0,0,181
KT9,1,7,,78,251,0,0,29,29,0,0,177
L1,0,7,,0,0,0,0,0,0,0,0,0
L10,1,5,,0,0,0,0,0,0,0,0,0
L11,0,5,,0,116,0,0,0,0,0,0,0
L12,1,11,,30,151,0,0,18,18,0,0,0
L13,1,14,,125,210,43,0,36,36,11,0,0
L14,0,13,,39,135,0,0,23,23,36,0,0
L15,1,9,,7,33,0,0,11,11,0,0,0
L16,0,14,,32,174,0,0,14,14,45,0,0
L17,3,4,,55,54,0,0,25,25,0,0,0
L18,0,9,,0,128,0,0,0,0,0,0,0
L19,0,9,,0,276,0,0,0,0,46,0,0
L20,1,9,,0,123,0,0,0,0,0,0,0
L21,0,12,,45,124,0,0,8,8,0,0,0
L22,0,11,,28,87,0,0,18,18,0,0,0
L23,2,3,,0,70,0,0,0,0,0,0,0
L24,0,20,,22,208,22,0,5,5,60,0,0
L25,3,5,,0,60,0,0,0,0,0,0,17
L26,0,7,Yes,0,72,0,0,14,14,0,0,0
L27,0,14,,119,202,0,0,21,21,0,0,0
L28,0,3,,0,22,0,0,0,0,0,0,0
L3,1,4,,0,0,0,0,0,0,0,0,0
L30,0,3,,0,9,0,0,0,0,0,0,0
L31,0,9,,44,93,0,0,22,22,19,0,0
L32,1,15,,57,205,0,0,13,13,0,0,0
L33,0,9,,0,79,0,0,0,0,0,0,0
L34,0,6,,0,28,0,0,0,0,0,0,0
L35,1,7,,52,101,0,0,43,43,0,0,0
L36,0,13,,28,144,0,0,15,15,24,0,0
L37,3,17,,63,120,0,0,12,12,158,0,0
L39,2,9,,169,212,0,0,33,33,66,0,0
L4,1,16,,173,220,0,0,31,31,0,0,36
L40,0,13,,5,216,0,0,8,8,53,0,0
L5,0,18,,117,192,0,0,28,28,0,0,0
L6,1,7,Yes,0,17,0,0,14,14,0,0,0
L7,0,9,,12,166,0,0,11,11,0,0,0
L8,0,1,,0,0,0,0,0,0,0,0,0
L9,1,10,,0,93,0,0,0,0,16,0,0
LA1,2,15,,30,107,0,0,13,13,45,0,0
LA10,0,12,,0,145,0,0,0,0,0,0,0
LA11,0,23,,222,514,30,60,26,26,41,60,530
LA12,1,4,,22,34,0,0,25,25,0,0,21
LA13,0,10,,62,68,0,0,40,40,23,28,99
LA14,0,12,,97,249,0,0,42,42,0,49,184
LA15,0,12,,18,268,0,0,25,25,0,0,202
LA16,0,21,,203,328,0,0,43,43,0,0,339
LA17,0,5,,9,91,0,0,20,20,47,17,93
LA18,0,2,,0,29,0,0,0,0,0,0,30
LA19,0,1,,12,14,0,0,100,100,0,0,0
LA2,0,7,,18,118,0,0,29,29,0,0,123
LA20,0,2,,0,20,0,0,0,0,0,0,22
LA21,0,20,,62,368,8,0,30,30,39,0,324
LA22,1,1,,25,26,0,0,100,100,0,0,18
LA23,1,2,,0,21,0,0,0,0,0,0,19
LA3,0,4,,9,38,0,0,50,50,0,0,50
LA4,0,5,,77,38,0,0,40,40,0,0,75
LA5,1,10,,60,316,0,0,30,30,30,9,393
LA6,1,8,,292,490,0,0,38,38,0,0,454
LA7,0,11,,170,276,0,0,55,55,14,0,299
LA8,0,13,,31,170,0,0,31,31,0,0,213
LA9,2,5,,50,82,0,0,20,20,0,0,60
LE1,1,8,,36,66,0,0,63,63,0,0,90
LE10,4,20,Yes,0,116,0,0,5,5,32,34,108
LE11,1,16,,76,501,0,0,31,31,12,13,382
LE12,6,3,,0,0,0,0,0,0,0,0,0
LE13,0,27,,48,79,0,0,11,11,0,6,163
LE14,1,31,,133,386,0,0,13,13,0,0,251
LE15,5,10,,22,42,0,0,10,10,0,0,84
LE16,4,14,,0,11,0,0,0,0,0,0,11
LE17,0,25,,149,233,17,0,44,44,69,74,255
LE18,1,18,,154,238,35,0,44,44,0,0,154
LE19,0,13,,36,0,0,0,15,15,10,0,0
LE2,5,15,,22,94,0,0,7,7,0,0,105
LE3,4,6,,65,83,0,0,33,33,0,0,127
LE4,5,39,,158,461,0,0,10,10,0,0,404
LE5,0,33,,286,594,0,0,12,12,3,0,617
LE6,1,36,,155,689,0,0,25,25,0,0,730
LE65,0,42,,79,588,0,0,5,5,0,0,513
LE67,3,6,,25,30,0,0,17,17,0,0,141
LE7,4,9,,11,22,0,0,11,11,0,0,68
LE8,3,30,,7,120,0,0,7,7,0,24,276
LE9,2,22,,61,67,0,0,14,14,0,0,159
LN1,2,14,,0,71,0,0,0,0,0,8,147
LN10,0,26,,21,125,0,0,4,4,0,0,136
LN11,0,13,,101,111,0,0,31,31,0,0,177
LN12,0,4,,20,73,0,0,25,25,0,0,65
LN13,0,18,,0,150,0,0,0,0,0,0,191
LN2,4,4,,0,0,0,0,0,0,0,0,21
LN3,0,6,,0,28,0,0,0,0,0,0,57
LN4,3,19,,154,186,0,38,21,21,0,0,295
LN5,3,5,,35,30,0,0,40,40,0,0,48
LN6,1,20,,127,344,0,0,30,30,11,0,141
LN7,0,17,,97,74,0,24,35,35,9,9,275
LN8,2,33,,211,500,0,0,27,27,34,0,531
LN9,2,5,,35,71,0,0,20,20,0,0,56
LS10,0,10,,40,167,0,0,30,30,0,0,11
LS11,0,6,,9,65,0,0,17,17,0,0,12
LS12,0,18,,377,224,0,103,44,44,0,12,266
LS13,1,16,,26,334,0,75,19,19,0,0,247
LS14,1,15,,54,155,0,97,20,20,0,0,145
LS15,0,12,,53,136,0,0,17,17,0,2,105
LS16,5,14,,103,142,0,56,21,21,0,0,223
LS17,2,13,,90,195,0,72,23,23,0,124,310
LS18,3,16,,275,442,0,74,44,44,7,13,364
LS19,0,22,,405,805,110,21,36,36,21,25,451
LS2,0,9,,92,207,0,1,22,22,26,30,239
LS20,0,8,,87,209,0,0,25,25,94,48,229
LS21,2,1,,60,65,0,9,100,100,10,8,60
LS22,0,5,,45,96,0,0,20,20,0,0,175
LS23,2,8,,114,168,0,5,50,50,0,51,158
LS24,3,8,Yes,0,13,0,0,13,13,0,0,0
LS25,1,7,,56,85,0,0,29,29,0,0,153
LS26,1,8,,52,111,0,0,25,25,19,0,96
LS27,0,17,,151,273,0,30,47,47,132,57,243
LS28,2,11,,122,192,0,49,36,36,0,16,225
LS29,1,12,,168,340,0,53,33,33,0,19,386
LS3,0,18,,177,395,0,138,28,28,0,10,387
LS4,2,13,,30,160,0,0,23,23,40,42,76
LS5,1,1,,0,47,0,0,0,0,0,0,30
