Row Labels,Count of No delivery due to covid,Sum of L1 and L2 places attended - 2019/20,Sum of Level 3 Places Attended (2018/19),Sum of Levels 1 and 2 Places Attended (2018/19),Sum of L3 places attended - 2019/20,Sum of Number of schools,Sum of Level 3 Places Attended (2020/21),Sum of % schools that booked Bikeability,Sum of Plus Places Attended (2020/21),Sum of Levels 1 and 2 places attended (2020/21)
CR6,,22,0,0,0,4,0,0,0,0
CR7,,0,0,0,0,18,0,0,0,0
CR8,,0,0,0,0,15,0,0,0,0
CR9,,0,0,0,0,6,0,0,0,0
CT1,,53,0,0,36,13,0,15,0,50
CT10,,125,0,87,0,15,0,13,0,40
CT11,,100,0,115,0,11,0,18,0,45
CT12,,36,0,49,0,10,0,0,0,0
CT13,,71,0,35,0,6,0,17,0,36
CT14,,29,0,9,0,15,0,13,0,72
CT15,,59,0,0,0,11,0,27,0,72
CT16,,39,0,0,0,12,0,25,0,216
CT17,,43,0,0,0,10,0,0,0,0
CT18,,32,0,112,0,4,0,25,0,31
CT19,,69,0,0,0,16,20,6,0,0
CT2,,131,0,0,0,13,0,8,0,24
CT20,,66,0,0,0,7,0,14,0,27
CT21,,115,0,126,0,7,0,0,0,0
CT3,,178,0,44,0,13,0,62,0,205
CT4,,187,0,47,0,10,0,30,0,97
CT5,,220,0,0,27,8,0,25,0,104
CT6,,182,0,0,0,9,0,33,0,127
CT7,,45,0,40,0,4,0,0,0,0
CT8,,52,0,61,0,4,0,25,0,34
CT9,,62,0,46,6,14,0,0,0,0
CV1,,146,0,79,0,15,0,7,0,25
CV10,,433,0,10,0,23,0,17,0,113
CV13,,24,0,11,0,10,0,0,0,0
CV2,,113,0,156,0,26,0,0,0,0
CV21,,146,0,24,0,13,0,31,0,138
CV22,,139,0,0,0,24,0,13,0,74
CV23,,55,0,36,0,12,0,42,0,94
CV3,,227,0,228,0,26,0,12,0,125
CV31,,197,0,151,0,14,0,36,0,102
CV32,,152,0,54,0,13,0,15,27,91
CV34,,261,31,41,48,15,36,27,0,39
CV35,,162,0,124,0,14,0,21,0,50
CV36,,57,0,96,0,5,0,40,0,66
CV37,,189,0,123,0,21,0,10,0,18
CV4,,67,0,50,0,12,0,0,0,0
CV47,,61,0,12,0,12,0,42,0,126
CV5,,258,11,287,0,13,0,38,0,115
CV6,,197,0,308,0,32,0,3,0,49
CV8,,96,0,0,0,13,0,23,0,60
CV9,,0,0,17,0,15,0,27,0,45
CW1,,482,30,415,0,16,55,31,15,325
CW10,,155,4,136,52,6,0,50,0,188
CW11,,324,0,394,0,11,0,27,0,151
CW12,,344,27,259,21,15,53,27,5,119
CW2,,563,130,474,153,16,39,44,54,222
CW3,,118,0,102,23,6,0,17,0,26
CW4,,145,24,188,0,5,0,20,0,59
CW5,,527,9,419,9,16,0,38,0,274
CW6,,102,0,72,0,9,0,33,1,35
CW7,,137,0,155,0,14,6,21,0,0
CW8,,286,0,210,0,23,0,22,0,89
CW9,,175,17,197,0,16,26,19,0,28
DA1,,88,0,24,18,21,0,10,0,60
DA10,,0,0,0,0,4,0,0,0,0
DA11,,92,0,55,0,17,0,12,18,0
DA12,,252,0,24,0,20,0,10,0,36
DA13,,36,0,12,0,7,0,29,90,24
DA14,,0,0,0,0,9,0,0,0,0
DA15,,0,0,0,0,13,0,0,0,0
DA16,,0,0,0,0,14,0,0,0,0
DA17,,0,0,0,0,8,0,0,0,0
DA18,,0,0,0,0,4,0,0,0,0
DA2,,135,0,186,0,12,0,8,0,51
DA3,,149,0,126,0,9,0,11,18,0
DA4,,33,0,48,0,3,0,0,0,0
DA5,,0,0,0,0,5,0,0,0,0
DA6,,0,0,0,0,6,0,0,0,0
DA7,,0,0,0,0,9,0,0,0,0
DA8,,0,0,0,0,11,0,0,0,0
DA9,,0,0,0,0,2,0,0,0,0
DE1,,0,0,0,0,7,0,0,0,0
DE11,,248,0,0,0,22,0,32,54,48
DE12,,123,0,20,0,14,0,21,57,0
DE13,,416,106,437,27,22,41,59,77,671
DE14,,98,0,134,0,11,0,27,35,328
DE15,,100,0,30,0,13,0,15,16,153
DE21,,94,24,42,0,23,0,26,162,186
DE22,,321,65,382,0,21,0,29,251,283
DE23,,143,12,131,11,28,0,21,235,136
DE24,,318,24,219,12,25,0,20,5,244
DE3,,415,0,108,24,10,0,20,0,108
DE4,,125,0,0,0,28,0,25,27,40
DE45,,72,0,0,0,9,0,33,29,54
DE5,,160,0,0,0,11,0,64,52,155
DE55,,352,0,0,0,34,0,44,274,285
DE56,,229,0,0,0,19,0,58,54,178
DE6,,132,0,29,0,23,0,22,19,16
DE65,,184,0,0,0,14,0,50,151,47
DE7,,310,0,0,50,26,33,62,165,478
DE72,,143,0,0,54,10,0,30,0,260
DE73,,20,0,0,20,10,0,10,0,135
DE74,,84,0,50,12,6,0,17,0,46
DE75,,36,0,0,0,10,0,40,0,76
DH1,,536,0,609,0,26,0,27,0,211
DH2,,147,0,228,0,9,0,44,0,110
DH3,,332,0,230,0,13,0,23,0,180
DH4,,175,0,119,0,11,0,36,5,22
DH6,,122,0,143,0,14,0,21,0,117
DH7,,265,0,279,0,24,0,17,0,93
DH9,,21,0,62,0,21,0,24,0,103
DL1,,274,1,245,14,17,0,6,29,0
DL10,,105,0,86,0,11,0,27,0,60
DL11,,0,0,0,0,4,0,0,0,0
DL13,,64,0,95,0,14,0,14,0,115
DL14,,241,0,63,0,25,0,8,0,68
DL15,,316,0,99,0,13,0,31,0,34
DL16,,238,0,58,0,14,0,14,0,15
DL17,,0,0,130,0,10,0,20,0,19
DL2,,170,0,155,0,14,0,21,99,43
DL3,,300,27,297,37,19,8,16,159,0
DL4,,0,0,120,0,3,0,33,0,26
DL5,,120,0,21,0,16,0,0,0,0
DL6,,54,0,39,4,8,0,13,0,18
DL7,,116,0,122,15,13,12,8,0,38
DL8,,36,0,76,0,17,0,12,0,19
DN1,,6,0,22,0,4,0,0,0,0
DN10,,138,0,164,0,8,0,38,12,99
DN11,,138,0,149,0,13,0,15,12,58
DN12,,26,0,17,0,14,0,0,0,0
DN14,,198,0,133,0,27,0,19,0,40
DN15,,175,18,238,0,16,0,25,36,156
DN16,,224,0,189,0,17,0,18,1,154
DN17,,254,0,339,0,20,0,20,2,68
DN18,,49,0,148,0,6,0,50,1,51
DN2,,37,0,27,0,9,0,0,0,0
DN20,,165,0,142,0,10,0,50,2,96
DN21,,182,0,313,0,26,0,12,56,15
DN22,,139,0,182,0,21,0,29,24,105
DN3,,32,0,57,0,14,0,0,0,0
DN31,,30,0,0,0,3,0,0,0,0
DN32,,217,0,0,0,11,0,36,0,54
DN33,,207,0,0,0,8,0,25,0,73
DN34,,118,0,0,0,8,0,25,0,10
DN36,,143,0,43,0,13,0,15,0,103
DN38,,100,0,0,0,2,0,0,0,0
DN4,,0,0,0,0,21,0,0,0,0
DN40,,108,0,6,0,7,0,43,0,30
DN41,,96,0,0,0,4,0,50,0,44
DN5,,85,0,96,0,21,0,0,0,0
DN6,,27,0,0,0,14,0,0,0,0
DN7,,26,0,33,0,10,0,0,0,0
DN8,,0,0,0,0,6,0,0,0,0
DN9,,109,0,179,0,13,0,31,2,112
DT1,,2,0,1,0,8,0,13,0,6
DT10,,51,9,41,11,7,0,0,0,0
DT11,,62,15,85,18,21,0,10,0,25
DT2,,0,3,18,0,15,4,7,0,7
DT3,,21,0,69,21,9,0,33,0,73
DT4,,0,0,24,0,12,0,8,0,7
DT5,,0,0,0,0,2,0,0,0,0
DT6,,69,0,81,0,11,0,0,0,0
DT8,,36,0,15,0,5,0,20,0,17
DT9,,18,15,20,24,16,0,6,0,12
DY10,,220,14,268,3,14,0,43,0,53
DY11,,195,0,138,0,14,0,21,0,62
DY12,,158,0,47,0,6,0,33,0,52
DY13,,132,0,142,0,9,0,56,0,119
DY14,,58,77,76,0,6,0,67,0,13
DY2,,33,0,0,0,12,0,0,0,0
DY4,,150,0,97,0,19,0,26,0,37
DY6,,359,0,472,30,13,0,31,0,21
DY7,,0,0,0,0,4,0,0,0,0
DY8,,431,13,575,12,19,0,16,36,1
DY9,,155,0,156,0,11,0,27,0,124
E1,,0,0,0,0,41,0,0,0,0
E10,,0,0,0,0,13,0,0,0,0
E11,,0,0,0,0,12,0,0,0,0
E12,,0,0,0,0,12,0,0,0,0
E13,,0,0,0,0,16,0,0,0,0
E14,,0,0,0,0,30,0,0,0,0
E15,,0,0,0,0,20,0,0,0,0
E16,,0,0,0,0,19,0,0,0,0
E17,,0,0,0,0,39,0,0,0,0
E18,,0,0,0,0,7,0,0,0,0
E1W,,0,0,0,0,4,0,0,0,0
E2,,0,0,0,0,26,0,0,0,0
E20,,0,0,0,0,2,0,0,0,0
E3,,0,0,0,0,21,0,0,0,0
E4,,0,0,0,0,21,0,0,0,0
E5,,0,0,0,0,22,0,0,0,0
E6,,0,0,0,0,23,0,0,0,0
E7,,0,0,0,0,21,0,0,0,0
E8,,0,0,0,0,12,0,0,0,0
E9,,0,0,0,0,15,0,0,0,0
EC1M,,0,0,0,0,2,0,0,0,0
EC1N,,0,0,0,0,1,0,0,0,0
EC1R,,0,0,0,0,3,0,0,0,0
EC1V,,0,0,0,0,4,0,0,0,0
EC1Y,,0,0,0,0,1,0,0,0,0
EC2A,,0,0,0,0,2,0,0,0,0
EC2Y,,0,0,0,0,1,0,0,0,0
EC3A,,0,0,0,0,1,0,0,0,0
EC3N,,0,0,0,0,1,0,0,0,0
EC4M,,0,0,0,0,1,0,0,0,0
EC4V,,0,0,0,0,1,0,0,0,0
EN1,,0,0,0,0,17,0,0,0,0
EN10,,59,0,29,0,4,0,75,0,28
EN2,,0,0,0,0,9,0,0,0,0
EN3,,0,0,0,0,25,0,0,0,0
EN4,,0,0,0,0,14,0,0,0,0
EN5,,0,0,0,0,12,0,0,0,0
EN6,,86,0,73,0,18,0,17,0,58
EN7,,56,0,52,0,9,0,11,0,24
EN8,,62,0,141,0,16,0,0,0,0
EN9,,67,0,12,0,6,24,50,0,132
EX1,,191,0,179,0,13,0,46,0,124
EX11,,75,8,147,9,3,0,100,0,85
EX12,,39,0,80,0,3,0,100,0,41
EX13,,141,0,84,0,10,0,60,0,22
EX14,,226,0,187,30,10,0,90,7,105
EX15,,175,17,237,0,12,0,58,0,132
EX16,,447,0,288,17,20,24,75,0,85
EX17,,281,0,203,0,12,0,58,0,101
EX18,,48,0,32,0,2,0,0,0,0
EX2,,173,100,272,48,21,39,43,1,102
EX20,,45,0,12,0,13,0,54,1,197
EX21,,32,0,45,0,6,0,100,0,23
EX22,,30,0,0,0,8,0,75,10,39
EX23,,103,0,0,0,9,0,56,0,102
EX31,,81,42,90,52,15,110,40,0,43
EX32,,207,0,118,0,16,0,19,0,40
EX33,,95,0,138,55,5,0,80,0,14
EX34,,51,0,59,0,7,0,29,0,24
EX36,,110,0,57,23,6,0,50,0,85
EX37,,0,0,14,0,4,0,100,0,17
EX38,,31,58,59,28,4,6,50,0,30
EX39,,282,0,305,18,16,0,63,2,159
EX4,,327,0,163,0,18,26,28,100,131
EX5,,320,4,294,0,15,0,73,3,133
EX6,,68,0,112,0,11,0,64,0,63
EX8,,409,7,384,0,12,0,58,0,84
EX9,,0,0,42,0,4,0,50,0,42
FY1,,70,0,57,0,6,0,83,0,59
FY2,,96,0,88,0,8,0,75,32,21
FY3,,221,6,249,0,13,0,46,70,106
FY4,,242,0,175,14,16,0,56,78,126
FY5,,228,0,283,9,13,0,38,0,88
FY6,,111,0,258,0,16,0,13,0,82
FY7,,173,0,118,0,10,0,0,0,0
GL1,,225,37,180,45,17,0,29,0,67
GL10,,93,0,156,0,11,0,64,0,42
GL11,,117,11,112,0,10,0,60,0,66
GL12,,156,0,138,0,9,0,67,0,61
GL13,,38,0,25,0,5,0,40,0,12
GL14,,46,0,41,0,8,0,38,0,39
GL15,,103,0,146,0,13,0,46,0,69
GL16,,103,0,99,0,9,0,33,0,25
GL17,,80,0,70,0,7,0,71,0,34
GL18,,52,0,0,0,5,0,60,0,26
GL19,,92,0,111,0,10,0,60,0,39
GL2,,424,106,381,35,26,31,54,0,286
GL20,,162,37,138,11,19,0,42,0,55
GL3,,159,21,249,38,16,18,38,0,24
GL4,,291,15,290,64,21,0,43,0,176
GL5,,192,0,181,0,19,0,47,0,60
GL50,,26,0,75,0,7,0,0,0,0
GL51,,114,73,192,42,22,0,14,0,111
GL52,,259,0,238,9,17,6,47,0,123
GL53,,168,55,188,53,9,28,56,0,146
GL54,,121,36,108,16,16,0,69,0,109
GL55,,84,0,57,0,4,0,50,0,15
GL56,,90,0,47,0,4,0,50,0,41
GL6,,154,0,198,0,18,0,39,0,99
GL7,,251,55,272,43,27,0,70,0,168
GL8,,102,0,93,0,5,0,40,0,27
GL9,,59,0,0,0,2,0,100,0,9
GU1,,179,0,178,0,16,0,19,0,71
GU10,,74,0,86,0,12,0,8,0,32
GU11,,273,0,212,0,10,0,40,0,81
GU12,,125,18,93,0,7,0,71,0,133
GU14,,514,0,273,0,28,0,14,0,57
GU16,,160,0,247,0,10,0,30,0,42
GU19,,107,0,110,0,3,0,0,0,0
GU2,,178,0,184,0,12,0,17,0,70
GU20,,0,0,0,0,2,0,0,0,0
GU21,,363,0,339,0,19,0,32,0,60
GU22,,230,0,522,0,13,0,23,0,60
GU23,,74,0,44,0,2,0,0,0,0
GU24,,150,0,89,0,10,0,50,0,79
GU26,,90,0,108,0,6,0,17,0,20
GU27,,170,0,237,0,9,0,33,0,52
GU28,,0,0,0,0,5,0,20,0,9
GU29,,0,0,27,0,5,0,20,0,40
GU3,,0,0,0,0,4,0,0,0,0
GU30,,85,24,86,0,5,0,20,0,90
GU31,,70,1,45,0,6,0,33,0,17
GU32,,107,0,102,0,9,0,22,0,29
GU33,,99,0,95,0,5,0,40,0,92
GU34,,199,33,315,32,19,0,42,0,113
GU35,,51,0,68,4,8,0,13,0,29
GU46,,171,0,144,0,8,0,50,0,155
GU47,,117,0,117,0,7,0,14,0,6
GU51,,126,0,89,0,4,0,0,0,0
GU6,,109,0,108,0,9,0,11,0,49
GU7,,264,0,280,0,15,0,20,0,123
GU8,,169,0,319,0,11,0,18,0,12
HA0,,0,0,0,0,10,0,0,0,0
HA1,,0,0,0,0,14,0,0,0,0
HA2,,0,0,0,0,16,0,0,0,0
HA3,,0,0,0,0,26,0,0,0,0
HA4,,0,0,0,0,18,0,0,0,0
HA5,,0,0,0,0,16,0,0,0,0
HA7,,0,0,0,0,8,0,0,0,0
HA8,,0,0,0,0,24,0,0,0,0
HA9,,0,0,0,0,17,0,0,0,0
HD1,,164,0,0,0,7,0,43,71,112
HD2,,182,0,0,42,9,8,33,87,88
HD3,,112,0,0,9,8,0,38,0,183
HD4,,195,0,0,40,14,45,79,32,274
HD5,,430,0,0,0,12,10,83,0,296
HD7,,198,0,0,12,13,0,54,36,146
HD8,,356,0,0,0,19,24,89,158,381
HD9,,126,0,0,9,17,67,41,54,232
HG1,,111,0,214,0,13,0,15,0,56
HG3,,16,0,46,0,25,0,8,0,15
HG5,,28,8,43,0,9,0,22,0,52
HP1,,256,0,220,0,18,0,17,0,26
HP11,,0,9,31,0,11,24,27,0,47
HP12,,43,0,48,0,9,0,22,0,46
HP13,,55,0,44,0,13,0,15,0,12
HP14,,78,0,167,0,10,0,40,0,30
HP15,,157,0,230,0,11,0,55,52,128
HP16,,90,0,72,0,7,0,43,0,74
HP17,,39,0,0,0,6,0,33,30,0
HP18,,111,0,47,0,12,0,42,0,30
HP19,,28,0,0,0,8,0,0,0,0
HP2,,35,0,74,0,18,0,11,0,52
HP20,,22,0,40,0,5,0,0,0,0
HP21,,96,20,92,0,17,0,24,0,84
HP22,,117,9,233,0,13,0,46,0,120
HP23,,73,0,98,0,10,0,30,0,59
HP3,,160,0,144,0,14,0,0,0,0
HP4,,274,13,67,12,15,10,27,0,75
HP5,,98,2,119,0,13,0,23,0,24
HP6,,104,0,102,0,12,0,33,0,52
HP9,,148,0,180,0,10,0,50,0,72
HR1,,185,11,215,0,23,0,0,0,0
HR2,,116,12,210,0,20,0,0,0,0
HR3,,0,0,25,0,3,0,0,0,0
HR4,,241,0,368,0,14,0,0,0,0
HR5,,0,0,0,0,2,0,0,0,0
HR6,,103,0,181,0,14,0,0,0,0
HR7,,25,0,31,0,5,0,0,0,0
HR8,,57,0,92,0,9,0,0,0,0
HR9,,57,0,138,0,13,0,0,0,0
HU1,,0,0,0,0,2,0,0,0,0
HU11,,23,0,22,0,6,0,0,0,0
HU13,,24,0,11,0,4,0,0,0,0
HU2,,0,0,0,0,4,0,25,0,26
HU20,,11,0,0,0,1,0,0,0,0
HU3,,368,0,99,0,12,0,42,44,98
HU4,,181,0,127,74,10,20,70,130,300
HU5,,572,0,243,0,13,0,31,12,282
HU6,,346,94,111,69,16,20,25,0,39
HU7,,792,0,178,0,19,0,37,10,371
HU8,,402,0,269,0,12,0,33,75,349
HU9,,271,5,59,0,18,0,22,112,108
IG1,,0,0,0,0,17,0,0,0,0
IG10,,60,0,0,6,14,24,50,35,180
IG11,,0,0,0,0,20,0,0,0,0
IG2,,0,0,0,0,7,0,0,0,0
IG3,,0,0,0,0,11,0,0,0,0
IG4,,0,0,0,0,4,0,0,0,0
IG5,,0,0,0,0,5,0,0,0,0
IG6,,0,0,0,0,12,0,0,0,0
IG8,,0,0,0,0,17,0,0,0,0
IG9,,12,0,0,0,5,6,60,0,95
IP10,,0,0,22,0,3,0,0,0,0
IP11,,107,0,127,0,11,0,9,0,24
IP12,,235,0,132,48,14,0,57,0,30
IP13,,86,0,45,0,13,0,38,0,12
IP14,,77,0,34,0,22,0,14,0,21
IP15,,0,0,0,0,1,0,0,0,0
IP16,,0,0,18,0,3,0,0,0,0
IP18,,0,0,0,0,3,0,0,0,0
IP19,,31,0,0,0,5,0,20,0,12
IP20,,5,0,0,0,4,0,50,0,30
IP22,,60,0,45,0,14,0,21,12,29
IP24,,22,0,0,0,15,0,0,0,0
IP26,,0,0,0,0,6,0,0,0,0
IP27,,53,0,0,0,5,0,40,0,84
IP28,,68,0,8,0,11,0,36,0,144
IP29,,0,0,50,0,4,0,75,0,59
IP3,,24,0,0,0,11,0,0,0,0
IP30,,32,0,35,0,6,0,17,0,19
IP31,,129,0,24,0,11,0,45,0,43
IP32,,0,0,53,0,10,0,20,0,53
IP33,,44,0,99,2,12,0,50,0,21
IP4,,160,0,129,24,14,15,29,0,73
IP6,,20,0,21,0,7,0,0,0,0
IP7,,70,0,58,0,12,0,50,0,61
IP8,,65,0,0,0,8,0,13,0,12
IP9,,36,0,79,0,10,0,30,0,49
KT1,,0,0,0,0,6,0,0,0,0
KT12,,404,0,245,0,11,0,45,0,102
KT13,,179,0,183,0,7,0,57,0,113
KT14,,136,0,138,0,5,0,60,0,44
KT15,,288,0,189,0,12,0,25,0,41
KT16,,62,0,0,0,11,0,27,0,38
KT17,,178,0,178,0,10,0,40,0,154
KT19,,337,0,252,0,11,0,45,0,156
KT2,,0,0,0,0,19,0,0,0,0
KT21,,253,0,357,0,6,0,33,0,110
KT22,,278,0,364,0,14,0,21,0,80
KT23,,282,0,20,0,5,0,60,0,107
KT24,,84,0,113,0,5,0,40,0,91
KT3,,0,0,0,0,14,0,0,0,0
KT4,,15,0,0,0,8,0,13,0,21
KT5,,0,0,0,0,4,0,0,0,0
KT6,,0,0,0,0,14,0,0,0,0
KT7,,381,0,181,0,6,0,50,0,106
KT8,,251,0,177,0,7,0,29,0,78
KT9,,0,0,0,0,7,0,0,0,0
L1,,0,0,0,0,5,0,0,0,0
L10,,116,0,0,0,5,0,0,0,0
L11,,151,0,0,0,11,0,18,0,30
L12,,210,0,0,11,14,43,36,0,125
L13,,135,0,0,36,13,0,23,0,39
L14,,33,0,0,0,9,0,11,0,7
L15,,174,0,0,45,14,0,14,0,32
L16,,54,0,0,0,4,0,25,0,55
L17,,128,0,0,0,9,0,0,0,0
L18,,276,0,0,46,9,0,0,0,0
L19,,123,0,0,0,9,0,0,0,0
L20,,124,0,0,0,12,0,8,0,45
L21,,87,0,0,0,11,0,18,0,28
L22,,70,0,0,0,3,0,0,0,0
L23,,208,0,0,60,20,22,5,0,22
L24,,60,0,17,0,5,0,0,0,0
L25,,202,0,0,0,14,0,21,0,119
L27,,22,0,0,0,3,0,0,0,0
L28,,0,0,0,0,4,0,0,0,0
L3,,9,0,0,0,3,0,0,0,0
L30,,93,0,0,19,9,0,22,0,44
L31,,205,0,0,0,15,0,13,0,57
L32,,79,0,0,0,9,0,0,0,0
L33,,28,0,0,0,6,0,0,0,0
L34,,101,0,0,0,7,0,43,0,52
L35,,144,0,0,24,13,0,15,0,28
L36,,120,0,0,158,17,0,12,0,63
L37,,212,0,0,66,9,0,33,0,169
L39,,220,0,36,0,16,0,31,0,173
L4,,216,0,0,53,13,0,8,0,5
L40,,192,0,0,0,18,0,28,0,117
L5,,166,0,0,0,9,0,11,0,12
L69,,0,0,0,0,1,0,0,0,0
L7,,93,0,0,16,10,0,0,0,0
L8,,107,0,0,45,15,0,13,0,30
L9,,145,0,0,0,12,0,0,0,0
LA1,,514,60,530,41,23,30,26,60,222
LA10,,34,0,21,0,4,0,25,0,22
LA11,,68,28,99,23,10,0,40,0,62
LA12,,249,49,184,0,12,0,42,0,97
LA13,,268,0,202,0,12,0,25,0,18
LA14,,328,0,339,0,21,0,43,0,203
LA15,,91,17,93,47,5,0,20,0,9
LA16,,29,0,30,0,2,0,0,0,0
LA17,,14,0,0,0,1,0,100,0,12
LA18,,118,0,123,0,7,0,29,0,18
LA19,,20,0,22,0,2,0,0,0,0
LA2,,368,0,324,39,20,8,30,0,62
LA20,,26,0,18,0,1,0,100,0,25
LA21,,21,0,19,0,2,0,0,0,0
LA22,,38,0,50,0,4,0,50,0,9
LA23,,38,0,75,0,5,0,40,0,77
LA3,,316,9,393,30,10,0,30,0,60
LA4,,490,0,454,0,8,0,38,0,292
LA5,,276,0,299,14,11,0,55,0,170
LA6,,170,0,213,0,13,0,31,0,31
LA7,,82,0,60,0,5,0,20,0,50
LA8,,66,0,90,0,8,0,63,0,36
LA9,,501,13,382,12,16,0,31,0,76
LE1,,0,0,0,0,3,0,0,0,0
LE11,,79,6,163,0,27,0,11,0,48
LE12,,386,0,251,0,31,0,13,0,133
LE13,,42,0,84,0,10,0,10,0,22
LE14,,11,0,11,0,14,0,0,0,0
LE15,,233,74,255,69,25,17,44,0,149
LE16,,238,0,154,0,18,35,44,0,154
LE17,,0,0,0,10,13,0,15,0,36
LE18,,94,0,105,0,15,0,7,0,22
LE19,,83,0,127,0,6,0,33,0,65
LE2,,461,0,404,0,39,0,10,0,158
LE3,,594,0,617,3,33,0,12,0,286
LE4,,689,0,730,0,36,0,25,0,155
LE5,,588,0,513,0,42,0,5,0,79
LE6,,30,0,141,0,6,0,17,0,25
LE65,,22,0,68,0,9,0,11,0,11
LE67,,120,24,276,0,30,0,7,0,7
LE7,,67,0,159,0,22,0,14,0,61
LE8,,71,8,147,0,14,0,0,0,0
LE9,,125,0,136,0,26,0,4,0,21
LN1,,111,0,177,0,13,0,31,0,101
LN10,,73,0,65,0,4,0,25,0,20
LN11,,150,0,191,0,18,0,0,0,0
LN12,,0,0,21,0,4,0,0,0,0
LN13,,28,0,57,0,6,0,0,0,0
LN2,,186,0,295,0,19,0,21,38,154
LN3,,30,0,48,0,5,0,40,0,35
LN4,,344,0,141,11,20,0,30,0,127
LN5,,74,9,275,9,17,0,35,24,97
LN6,,500,0,531,34,33,0,27,0,211
LN7,,71,0,56,0,5,0,20,0,35
LN8,,167,0,11,0,10,0,30,0,40
LN9,,65,0,12,0,6,0,17,0,9
LS10,,224,12,266,0,18,0,44,103,377
LS11,,334,0,247,0,16,0,19,75,26
LS12,,155,0,145,0,15,0,20,97,54
LS13,,136,2,105,0,12,0,17,0,53
LS14,,142,0,223,0,14,0,21,56,103
LS15,,195,124,310,0,13,0,23,72,90
LS16,,442,13,364,7,16,0,44,74,275
LS17,,805,25,451,21,22,110,36,21,405
LS18,,207,30,239,26,9,0,22,1,92
LS19,,209,48,229,94,8,0,25,0,87
LS2,,65,8,60,10,1,0,100,9,60
LS20,,96,0,175,0,5,0,20,0,45
LS21,,168,51,158,0,8,0,50,5,114
LS22,,85,0,153,0,7,0,29,0,56
LS23,,111,0,96,19,8,0,25,0,52
LS25,,273,57,243,132,17,0,47,30,151
LS26,,192,16,225,0,11,0,36,49,122
LS27,,340,19,386,0,12,0,33,53,168
LS28,,395,10,387,0,18,0,28,138,177
LS29,,160,42,76,40,13,0,23,0,30
LS3,,47,0,30,0,1,0,0,0,0
LS4,,82,0,83,0,4,0,50,13,57
LS5,,0,0,61,0,2,0,0,0,0
LS6,,94,0,123,0,9,0,22,1,61
LS7,,153,0,191,0,10,0,20,72,73
LS8,,521,98,430,162,12,0,25,160,36
LS9,,364,0,328,0,17,0,18,210,0
LU1,,120,0,229,0,24,0,8,0,84
LU2,,145,0,273,12,19,0,21,0,75
LU3,,85,0,66,0,23,0,13,116,108
LU4,,231,0,58,0,21,0,14,0,77
LU5,,325,0,410,2,22,0,27,0,84
LU6,,258,0,400,0,15,0,40,0,92
LU7,,1027,0,26,133,26,35,62,90,586
M11,,236,0,218,40,13,0,54,0,44
M12,,111,0,194,0,12,0,25,0,52
M13,,177,53,122,9,10,0,20,0,58
M14,,351,0,267,39,12,0,67,0,75
M15,,119,0,12,0,8,0,13,0,285
M16,,283,0,102,138,16,0,31,55,166
M18,,35,0,187,122,10,0,0,0,0
M19,,263,0,146,0,11,0,18,0,27
M2,,0,0,0,0,1,0,0,0,0
M20,,309,680,340,78,18,0,28,0,89
M21,,246,28,203,0,14,0,21,0,63
M23,,249,85,206,15,13,0,31,30,81
M24,,324,0,115,24,21,30,14,0,48
M26,,105,0,244,0,13,0,31,0,108
M27,,259,0,216,0,18,0,22,0,34
M28,,287,0,238,0,17,0,35,118,54
M29,,104,0,48,0,9,0,33,0,60
M3,,0,0,0,0,3,0,0,0,0
M30,,154,0,181,0,21,0,19,0,112
M31,,76,0,43,0,5,0,0,0,0
M32,,101,0,143,0,13,0,8,0,56
M33,,528,0,620,0,24,0,4,0,22
M34,,266,0,204,0,19,0,32,0,229
M35,,160,6,331,8,11,0,27,64,150
M40,,274,321,237,216,21,0,10,0,61
M41,,148,0,351,0,20,0,0,0,0
M43,,81,0,122,0,9,0,0,0,0
M44,,60,0,179,0,9,0,22,0,64
M45,,181,0,233,0,10,0,20,45,73
M46,,114,0,180,0,11,0,9,0,28
M5,,26,0,12,0,6,0,0,0,0
M50,,0,0,0,0,2,0,0,0,0
M6,,14,0,10,0,13,0,0,0,0
M7,,40,0,101,0,34,0,0,0,0
M8,,304,0,158,60,15,0,20,186,62
M9,,366,0,286,14,19,0,32,37,65
ME1,,53,0,70,0,18,0,6,0,31
ME10,,87,0,32,0,21,0,29,186,44
ME11,,0,0,0,0,1,0,0,0,0
ME12,,166,0,85,0,11,0,0,0,0
ME13,,244,0,38,0,15,0,53,0,229
ME14,,182,0,0,16,12,0,42,88,149
ME16,,106,0,16,30,17,0,6,0,15
ME17,,85,0,11,24,15,0,27,0,84
ME18,,81,0,8,0,4,0,25,0,24
ME19,,242,0,210,0,13,0,0,0,0
ME2,,125,0,129,0,19,0,21,0,49
ME20,,127,10,141,0,9,0,22,0,58
ME3,,138,0,113,0,12,0,50,60,36
ME4,,78,0,70,0,16,0,6,0,16
ME5,,139,0,115,0,18,0,33,0,64
ME6,,32,0,34,0,4,0,50,0,50
ME7,,127,0,130,0,17,0,24,0,20
ME8,,152,0,146,0,18,0,28,0,82
ME9,,182,0,85,0,16,0,50,0,166
MK10,,245,12,230,0,7,0,43,3,156
MK11,,37,0,36,0,3,0,0,0,0
MK12,,43,17,225,0,7,0,0,0,0
MK13,,51,0,64,0,7,0,0,0,0
